region,school_name,closure_year,local_office,school_level,utilization_status,address,years_since_closure,closure_risk_index
jeju,가시초등학교,2001,해당없음,초,미활용,서귀포시 표선면 가시리 1924,24,0.7639344262295084
jeju,고산초산양분교장,1995,해당없음,초,대부,제주시 한경면 청수리 3338,30,0.6950819672131149
jeju,광령초상전분교장,1992,해당없음,초,자체활용,제주시 애월읍 고성리 94,33,0.6360655737704918
jeju,광명분교장,1988,서귀포시,초,매각,서귀포시 안덕면 서광리 2162-3,37,0.5901639344262294
jeju,덕천분교장,1990,제주시,초,매각,제주시 구좌읍 덕천리 300,35,0.5639344262295082
jeju,명월초등학교,1993,해당없음,초,대부,제주시 한림읍 명월리 1734,32,0.7213114754098361
jeju,무릉중학교,1999,해당없음,중,미활용,서귀포시 대정읍 무릉리 3296,26,0.6918032786885248
jeju,무릉초무릉동분교장,1994,해당없음,초,대부,서귀포시 대정읍 무릉리 581-1,31,0.7081967213114756
jeju,보성초구억분교장,1995,해당없음,초,대부,서귀포시 대정읍 구억리 889-1,30,0.6950819672131149
jeju,보성초신평분교장,1992,해당없음,초,대부,서귀포시 대정읍 신평리 371-1,33,0.7344262295081968
jeju,삼양초회천분교장,1996,해당없음,초,자체활용,제주시 회천동 2307,29,0.5836065573770491
jeju,색달분교장,1989,서귀포시,초,매각,서귀포시 색달동 755,36,0.5770491803278689
jeju,서광초동광분교장,2009,해당없음,초,대부,서귀포시 안덕면 동광리 976,16,0.5114754098360655
jeju,신도초등학교,1998,해당없음,초,미활용,서귀포시 대정읍 신도리 1382-1,27,0.8032786885245903
jeju,신도초보흥분교장,1983,해당없음,초,미활용,서귀포시 대정읍 신도리 2595-2,42,1.0
jeju,신산중학교,2001,해당없음,중,미활용,서귀포시 성산읍 신산리 953,24,0.6655737704918033
jeju,신산초난산분교장,1995,해당없음,초,미활용,서귀포시 성산읍 난산리 1109,30,0.8426229508196724
jeju,신산초삼달분교장,1998,해당없음,초,대부,서귀포시 성산읍 삼달리 437-5,27,0.6557377049180327
jeju,신창중학교,1998,해당없음,중,미활용,제주시 한경면 신창리 135,27,0.7049180327868853
jeju,안덕초대평분교장,1996,해당없음,초,대부,서귀포시 안덕면 창천리 850,29,0.6819672131147542
jeju,어도초어음분교장,1999,해당없음,초,대부,제주시 애월읍 어음리 2922,26,0.6426229508196722
jeju,연평초등학교,2000,해당없음,초,대부,제주시 우도면 연평리 1457,25,0.6295081967213115
jeju,영락초등학교,1995,해당없음,초,미활용,서귀포시 대정읍 영락리 1278,30,0.8426229508196724
jeju,영천초등학교,2002,해당없음,초,자체활용,서귀포시 상효동 1291-2,23,0.5049180327868853
jeju,용수초등학교,1995,해당없음,초,미활용,제주시 한경면 용수리 3533,30,0.8426229508196724
jeju,장전초금덕분교장,1992,해당없음,초,대부,제주시 애월읍 유수암리 1387,33,0.7344262295081968
jeju,조수초등학교,1995,해당없음,초,대부,제주시 한경면 조수리 315,30,0.6950819672131149
jeju,조천초신흥분교장,2010,해당없음,초,자체활용,제주시 조천읍 신흥리 94,15,0.40000000000000013
