시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
부산,(구)경남여자중학교,2009,남부,중,자체활용,동구 수정5동 563
부산,(구)다대초등학교,2007,서부,초,자체활용,사하구 다대동 1140-1
부산,(구)덕두초등학교,2007,북부,초,매각,부산 강서구 대저2동 1932-1
부산,(구)동천초등학교,2010,남부,초,매각,부산 남구 감만동 78
부산,(구)디자인고등학교,2010,남부,고,자체활용,동구 초량동 1167
부산,(구)명지초등학교,2016,북부,초,자체활용,강서구 명지동 1336
부산,(구)반송중학교,2020,해운대,중,자체활용,해운대구 반송동 250-2696
부산,(구)반여초등학교,2020,해운대,초,대부,해운대구 반여3동 1594-73
부산,(구)부산개성중학교,2005,남부,중,자체활용,부산진구 부전2동 389-25
부산,(구)부산중앙중학교,2012,남부,중,자체활용,부산진구 전포1동 682
부산,(구)서곡초등학교,2022,금정구,초,자체활용,금정구 서동 134-13
부산,(구)송정초등학교,2017,북부,초,자체활용,강서구 송정동 1437-19
부산,(구)송정초등학교,2010,해운대,초,매각,부산 해운대구 송정동 349
부산,(구)신진초등학교,2007,해운대,초,매각,부산 기장군 철마면 고촌리 156-1
부산,(구)연포초등학교,2019,남부,초,자체활용,남구 대연동 1788-2
부산,(구)일광초등학교,2020,해운대,초,자체활용,기장군 일광면 화전리 111
부산,(구)정관초등학교,2010,해운대,초,자체활용,기장군 정관면 방곡리 412
부산,가락중학교,2022,북부,중,자체활용,강서구 죽림동 1090
부산,가락초 해포분교장,2004,북부,초,자체활용,강서구 봉림동 738-1714
부산,감정초등학교,2019,서부,초,자체활용,사하구 감천동 10-2
부산,기장중 철마분교장,1993,해운대,중,자체활용,기장군 철마면 연구리 594
부산,낙동여자중학교,1998,북부,중,자체활용,강서구 대저1동 421-3
부산,눌차초등학교,2011,북부,초,매각,부산 강서구 눌차동 587
부산,대저중앙초 신노전분교장,1998,북부,초,매각,부산 강서구 대저2동 5979-5
부산,대저중앙초등학교,2018,북부,초,매각,부산 강서구 대저2동 3611-3
부산,덕도초등학교,2019,북부,초,미활용,강서구 강동동 2273-1
부산,덕천여자중학교,2022,북부,중,자체활용,북구 덕천동 485-1
부산,동광초등학교,1998,서부,초,매각,부산 중구 대청동 1가 43-1
부산,동삼중학교,2019,서부,중,자체활용,영도구  동삼동 331-41
부산,사상중학교,2009,북부,중,자체활용,사상구 덕포동 150-1
부산,삼광초등학교,2017,북부,초,매각,부산 강서구 강동동 4359-3
부산,삼락중학교,2019,북부,중,매각,부산 사상구 삼락동 380-17
부산,삼락초등학교,2000,북부,초,자체활용,사상구 삼락동 365-8
부산,세산초 녹산분교장,2010,북부,초,매각,부산 강서구 구량동 111-1
부산,세산초등학교,2015,북부,초,매각,부산 강서구 미음동 20-3
부산,영선초등학교,2002,서부,초,매각,부산 영도구 영선동 179-1
부산,윤산중학교,2013,동래,중,대부,금정구 금사동 505
부산,일광초 학리분교장,2006,해운대,초,자체활용,기장군 일광면 삼성리 717-5
부산,장안초 대룡분교장,1989,해운대,초,매각,부산 기장군 장안읍 오리 151-2
부산,정관초 병산분교장,1989,해운대,초,매각,부산 기장군 정관면 병산리 266-4
부산,좌성초등학교,2021,남부,초,매각,부산 동구 범일동 1400
부산,좌천초등학교,2018,남부,초,매각,부산 동구 좌천동 874
부산,중앙초등학교,2008,남부,초,자체활용,동구 수정동 363-4
부산,천가초 대항분교장,2013,북부,초,매각,부산 강서구 대항동 175
부산,천가초 장항분교장,2001,북부,초,매각,부산 강서구 성북동 1290
부산,천가초 천성분교장,2011,북부,초,미활용,강서구 천성동 813
부산,충무초등학교,1999,서부,초,매각,부산 서구 토성동 4가 2-3
부산,회동초등학교,2018,동래,초,자체활용,금정구 회동동 143-1
