시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
충북,  소이초 충도분교,1991,음성,초,매각,음성군 소이면 충도리 704
충북,(구)가덕중 ,2022,청주,중,자체활용,청주시 상당구 가덕면 수곡리 255
충북,(구)내북초,2013,보은,초,대부,보은군 내북면 동산리 119
충북,(구)복대초 ,2023,청주,초,자체활용,청주시 흥덕구 복대동 709-4
충북,(구)북암초,1981,보은,초,대부,보은군 속리산면 북암리 318
충북,(구)옥동초,2014,진천,초,자체활용,진천군 덕산읍 옥동리 359-2
충북,(구)주성중 ,2015,청주,중,자체활용,청주시 상당구 수동 133
충북,(구)중앙탑초,2018,충주,초,자체활용,충주시 중앙탑면 탑평리 212-1
충북,(구)충북체육고,2014,청주,고,자체활용,청주시 서원구 사직동 807
충북,가곡초,2009,단양,초,매각, 단양군 가곡면 사평리 467
충북,가곡초 향산분교장,1993,단양,초,매각, 단양군 가곡면 향산리 347-4
충북,가덕초 상야분교장,2004,청주,초,대부,청주시 상당구 가덕면 상야리 351-1
충북,가산초 방곡분교장,1991,단양,초,매각, 단양군 대강면 방곡리 156
충북,감곡초 상평분교장,2000,음성,초,미활용,음성군 감곡면 상평리 374-1
충북,감물중,2013,괴산증평,중,대부,괴산군 감물면 광전리 112
충북,감물초 매전분교장,1991,괴산증평,초,매각,괴산군 감물면 매전리 410-1
충북,감물초 이담분교장,1995,괴산증평,초,매각,괴산군 감물면 이담리 640
충북,강내초 저산분교장,1995,청주,초,매각, 청주시 흥덕구 강내면 저산리 200-3
충북,강천초,2019,충주,초,대부,충주시 앙성면 목미리 89-2
충북,강천초 단암분교장,1995,충주,초,대부,충주시 앙성면 단암리 412-1
충북,공전초,1999,제천,초,대부,제천시 봉양읍 공전리 265
충북,관기초 기대분교장,1994,보은,초,대부,보은군 마로면 기대리 328-2
충북,관기초 소여분교장,1995,보은,초,미활용,보은군 마로면 소여리 470-1
충북,관기초 적암분교장,1995,보은,초,미활용,보은군 마로면 적암리 149
충북,광덕초,1993,괴산증평,초,매각,괴산군 문광면 신기리 111
충북,괴산명덕초 제월분교장,1996,괴산증평,초,미활용,괴산군 괴산읍 제월리 289
충북,구)내곡초,2019,청주,초,매각, 청주시 흥덕구 내곡동 10-2
충북,구)동명초,2013,제천,초,매각,제천시 명동 68
충북,구)상신초,2019,진천,초,미활용,진천군 이월면 신월리 317-16
충북,구)중앙초,2015,청주,초,매각, 청주시 상당구 문화동 4
충북,구정초 오상분교장,2002,진천,초,대부,진천군 초평면 은암리 290-1
충북,군동초,1998,옥천,초,매각,옥천군 옥천읍 수북리 83
충북,금성초 장선분교장,1996,제천,초,대부,제천시 청풍면 장선리 98
충북,금성초 중전분교장,1992,제천,초,대부,제천시 금성면 포전리 409-2
충북,금성초 황석분교장,1987,제천,초,매각,제천시 청풍면 후산리 47-2
충북,금호초 마곡분교장,1988,영동,초,매각,영동군 심천면 마곡리 885
충북,남당초 삼선분교장,1993,제천,초,미활용,제천시 봉양읍 삼거리 538
충북,남신초 덕생분교,2012,음성,초,미활용,음성군 음성읍 삼생리 94
충북,남이초 구암분교장,1992,청주,초,자체활용,청주시 서원구 남이면 구암리 275
충북,남일초 두산분교장,2010,청주,초,자체활용,청주시 상당구 남일면 두산리 106-1
충북,남한강초,2020,충주,초,자체활용,충주시 문화동 1924
충북,낭성초 갈산분교장,2004,청주,초,대부,청주시 상당구 낭성면 갈산리 341-1
충북,낭성초 산동분교장,1996,청주,초,매각,  청주시 상당구 낭성면 관정리 277-1
충북,내북초 아곡분교장,2002,보은,초,대부,보은군 내북면 상궁리 46-2
충북,내북초 이식분교장,1999,보은,초,대부,보은군 산외면 이식리 84
충북,내북초 이원분교장,1996,보은,초,매각,보은군 내북면 이원리 209-1
충북,노송초,2002,영동,초,매각,영동군 황간면 노근리 700
충북,노은초 수룡분교장,1996,충주,초,미활용,충주시 노은면 수룡리 554-1
충북,노은초 수상분교장,2013,충주,초,자체활용,충주시 노은면 안락리 119-1
충북,능산초,2023,음성,초,미활용,음성군 삼성면 능산리 203
충북,능암초,2007,충주,초,매각,충주시 앙성면 돈산리 98-4
충북,단산중학교,2017,단양,중,매각, 단양군 어상천면 임현리 311
충북,단양초 금곡분교장,1999,단양,초,매각, 단양군 단양읍 기촌리 107
충북,단양초 노동분교장,1999,단양,초,대부,단양군 단양읍 노동리 265
충북,단양초 여천분교장,1994,단양,초,매각, 단양군 가곡면 여천리 242
충북,단천초 가산분교장,2019,단양,초,미활용,단양군 단성면 가산리 290
충북,단천초 두항분교장,1991,단양,초,대부,단양군 단성면 두항리 39
충북,대강초 올산분교장,1992,단양,초,대부,단양군 대강면 올산리 185
충북,대강초 장정분교장,2017,단양,초,미활용,단양군 대강면 장정리 30
충북,대강초 죽령분교장,1988,단양,초,매각, 단양군 대강면 용부원리 82
충북,대강초 황정분교장,1995,단양,초,매각, 단양군 대강면 황정리 194
충북,대성초,2014,옥천,초,대부,옥천군 이원면 의평리 276-2
충북,대소원초,2020,충주,초,자체활용,충주시 대소원면 본리 569-15
충북,덕산초 선림분교장,1995,제천,초,매각,제천시 덕산면 선고리 92-3
충북,덕산초 월악분교장,1992,제천,초,대부,제천시 덕산면 월악리596
충북,도담초,1997,단양,초,매각, 단양군 매포읍 우덕리 63
충북,도안초 연촌분교장,1985,괴산증평,초,매각, 증평군 도안면 연촌리 53
충북,동광초 학림분교장,2003,보은,초,자체활용,보은군 보은읍 중동리 9-1
충북,동량초 서운분교장,1999,충주,초,미활용,충주시 동량면 서운리 155
충북,동량초 지동분교장,1992,충주,초,매각,충주시 동량면 하천리 13-3
충북,동량초 하천분교장,1995,충주,초,대부,충주시 동량면 손동리 336
충북,동이중,1998,옥천,중,대부,옥천군 동이면 적하리 672
충북,동이초 청마분교장,1994,옥천,초,매각,옥천군 동이면 청마리 872-1
충북,두학초 자작분교장,1992,제천,초,대부,제천시 자작동 256-4
충북,만수초 공북분교장,1995,청주,초,매각, 청주시 흥덕구 오송읍 공북리 337
충북,매포초기동분교장,1990,단양,초,대부,단양군 적성면 기동리 433-1
충북,맹동초 통동분교장,1992,음성,초,매각,음성군 맹동면 통동리 235
충북,목도고,2022,괴산증평,고,자체활용,괴산군 불정면 목도리 360
충북,목도중,1992,괴산증평,중,매각,괴산군 불정면 목도리 247
충북,무극초 사정분교장,1995,음성,초,대부,음성군 음성읍 사정리 949
충북,문광초 덕평분교장,2011,괴산증평,초,매각,괴산군 청천면 덕평리 280
충북,문백초 은탄분교장,1993,진천,초,매각,진천군 문백면 은탄리 338-3
충북,문의초 구룡분교장,1992,청주,초,미활용,청주시 상당구 문의면 구룡리 338
충북,문의초 소전분교장,1999,청주,초,매각,  청주시 상당구 문의면 소전리 653-2
충북,문의초 회서분교장,1992,청주,초,매각,  청주시 상당구 문의면 마동리 81-1
충북,미봉초,2018,영동,초,대부,영동군 양강면 유점리 697-3
충북,미봉초 구강분교장,1995,영동,초,매각,영동군 양강면 구강리 74
충북,미원중 운암분교장,1991,청주,초,미활용,청주시 상당구 미원면 운암리 593
충북,미원초 가양분교장,1992,청주,초,매각,  청주시 상당구 미원면 가양리 332
충북,미원초 기암분교장,2000,청주,초,매각, 청주시 상당구 미원면 기암리 251-1
충북,미원초 용곡분교장,2000,청주,초,미활용,청주시 상당구 미원면 용곡리 287-1
충북,미원초 종암분교장,2000,청주,초,대부,청주시 상당구 미원면 종암리 387
충북,백곡중,2012,진천,중,자체활용,진천군 백곡면 사송리 476-1
충북,백곡초 명암분교장,1991,진천,초,매각,진천군 백곡면 명암리 213-1
충북,백곡초 성대분교장,1999,진천,초,대부,진천군 백곡면 성대리 498-2
충북,백봉초 운곡분교장,1995,괴산증평,초,미활용,괴산군 청안면 운곡리 209-2
