시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
충남,가동초,2006,당진,초,매각,당진시 송산면 가곡리 108-21
충남,갈산초 가곡분교장,2007,홍성,초,매각,홍성군 갈산면 가곡리 375
충남,강당초 부남분교장,1999,서산,초,매각,서산시 부석면 창리 산18-2
충남,거전초,1991,부여,초,매각,부여군 은산면 거전리 21
충남,결성중,2018,홍성,중,매각,홍성군 결성면 읍내리 29
충남,고남초 누동분교장,1999,태안,초,매각, 태안군 안면읍 누동리 814
충남,고남초 안곡분교장,1999,태안,초,매각, 태안군 고남면 장곡리 421-5
충남,고남초 영항분교장,1999,태안,초,미활용,태안군 고남면 고남리 96-4
충남,고성초,2008,서산,초,매각,서산시 팔봉면 진장리 806-5
충남,광남초,2014,홍성,초,미활용,홍성군 광천읍 옹암리 353-2
충남,광명초 월도분교장,1990,보령,초,매각,보령시 오천면 효자도리 411
충남,광명초 추도분교장,1993,보령,초,매각,보령시 오천면 효자도리 570
충남,광명초 효자분교장,2003,보령,초,매각,보령시 오천면 효자리 170
충남,광성초,2015,홍성,초,대부,홍성군 갈산면 취생리 250
충남,광시초,1999,예산,초,미활용,예산군 광시면 신대리 197
충남,광신초,2013,홍성,초,매각,홍성군 광천읍 광천리 345
충남,광암초,2005,청양,초,매각,청양군 운곡면 광암리 633-2
충남,광천여자중,2014,홍성,중,자체활용,홍성군 광천읍 소암리 397
충남,교성초,1999,보령,초,매각,보령시 오천면 교성리 841-1
충남,구산초 연종분교장,1999,공주,초,매각,공주시 유구읍 연종리 130-1
충남,귀산초 청산분교장,1995,공주,초,매각,공주시 우성면 내산리 446-5
충남,금강초등학교,1999,금산,초,매각,금산군 제원면 저곡리 26
충남,금남초,1999,금산,초,매각,금산군 남일면 마장리 912-1
충남,금류초,1992,금산,초,자체활용,금산군 금성면 하류리440
충남,금성초,2007,서천,초,매각,서천군 화양면 남성리 202-1
충남,금천초,1993,부여,초,매각,부여군 남면 금천리 276-1
충남,기산초 월기분교장,1999,서천,초,매각,서천군 기산면 월기리 273-1
충남,길산초,2000,서천,초,매각,서천군 서천읍 삼산리 388-1
충남,남면초 거아도분교장,1987,태안,초,매각, 태안군 남면 거아도리
충남,남산초,2010,부여,초,매각,부여군 장암면 장하리 691-1
충남,남산초,2012,당진,초,매각,당진시 면천면 자개리 622-1
충남,남산초 성북분교장,1999,부여,초,매각,부여군 장암면 지토리 130
충남,남성중,2007,부여,중,매각,부여군 남면 내곡리 174-4
충남,남성초,2008,부여,초,매각,부여군 남면 회동리 333-2
충남,남양초 온암분교장,1992,청양,초,매각,청양군 남양면 온암리 232
충남,남양초 온직분교장,1994,청양,초,매각,청양군 남양면 온직리 442-4
충남,남양초백금분교장,2006,청양,초,매각,청양군 남양면 백금리 60-40
충남,남이초 건천분교장,1999,금산,초,매각,금산군 남이면 건천리 204
충남,남이초 흑암분교장,1999,금산,초,매각,금산군 남이면 흑암리 454
충남,남일중,2009,금산,중,매각,금산군 남일면 음대리 315-1
충남,남일초 금일분교장,1998,금산,초,매각,금산군 남일면 음대리 201-1
충남,남진초,2001,태안,초,매각, 태안군 남면 진산리 18-39
충남,내경초,2007,당진,초,매각,당진시 우강면 내경리 11-4
충남,내산초 천보분교장,1999,부여,초,매각,부여군 내산면 묘원리 47
충남,대농초,2006,보령,초,매각,보령시 미산면 대농리 255-2
충남,대룡초,2007,공주,초,미활용,공주시 신풍면 대룡리 407
충남,대률초,1999,예산,초,매각,예산군 대흥면 대률리 476-2
충남,대률초,1999,예산,초,자체활용,예산군 대흥면 대률리 476-1
충남,대명초,2022,논산계룡,초,미활용,논산시 상월면 대촌리 268
충남,대산초 오지분교장,2004,서산,초,매각,서산시 대산읍 오지리 41
충남,대산초 웅도분교장,2016,서산,초,매각,서산시 대산읍 웅도리 40
충남,대성초,2007,서산,초,매각,서산시 지곡면 환성리 434
충남,대술초 예동분교장,1992,예산,초,매각,예산군 대술면 이티리 649-2
충남,대치초,2012,청양,초,매각,청양군 대치면 시전리 276
충남,대치초 상갑분교장,1991,청양,초,매각,청양군 대치면 상갑리 286
충남,대평초,2014,홍성,초,미활용,홍성군 광천읍 대평리 318
