시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
대구,가창초우록분교,2007,달성,초,자체활용,달성군 가창면 삼산리 795
대구,감삼중,2011,남부,중,자체활용,달서구 감삼동 198-4
대구,경운초감삼분교,1996,서부,초,자체활용,서구 내당동 467-2
대구,고로초화수분교,1996,군위,초,대부,군위군 삼국유사면 화수리 963-1
대구,"공산초
능성분교",1988,동부,초,매각,동구 능성동 354
대구,"공산초
신무분교",1988,동부,초,매각,동구 신무동 690
대구,교동중,2023,서부,중,대부,북구 읍내동 1305-3
대구,"구지초
구남분교",1992,달성,초,매각,구지면 대암리 671
대구,군위남부초,1998,군위,초,자체활용,군위군 군위읍 무성리 709-1
대구,군위여고,2009,군위,고,자체활용,군위군 군위읍 정리 292-1
대구,군위여중,2009,군위,중,자체활용,군위군 군위읍 정리 292-1
대구,군위정보고,2017,군위,고,자체활용,군위군 의흥면 읍내리 197
대구,"금포초
노이분교",1990,달성,초,매각,논공읍 노이리 597
대구,남도여중,1999,남부,중,자체활용,남구 대명동 1819-37
대구,"논공초
(논공야영장)",1995,달성,초,매각,논공읍 하리 565
대구,대구남중,2012,남부,중,자체활용,달서구 성당동 434-1
대구,대동초,2017,서부,초,자체활용,북구 산격동 1285
대구,대율초,1994,군위,초,자체활용,군위군 부계면 대율리 644-1
대구,대평초,1997,동부,초,매각,하빈면 대평리 217-3
대구,도남초,2000,서부,초,자체활용,북구 국우동 90-1
대구,문산초,1999,군위,초,자체활용,군위군 우보면 모산리 489-10
대구,"반야월초
매여분교",1988,동부,초,매각,동구 매여동 275
대구,보성초,1992,군위,초,자체활용,군위군 소보면 사리리 97-1
대구,복명초,1998,동부,초,자체활용,중구 남산동 630
대구,복현중,2017,서부,중,자체활용,북구 복현동 301-17
대구,본리중,2016,남부,중,자체활용,달서구 본리동 333-1
대구,봉의초,1992,군위,초,자체활용,군위군 소보면 봉소리 623-1
대구,비슬초,2010,달성,초,매각,유가면 봉리 115-1
대구,삼영초,2015,서부,초,매각,북구 노원동3가 262
대구,"서재초
달천분교",1999,달성,초,매각,다사읍 달천리 306-1
대구,서진중,2018,서부,중,자체활용,서구 평리동 550
대구,성서중,1999,남부,중,자체활용,달서구 장기동 48
대구,신당중,2024,남부,중,자체활용,달서구 신당동 1846-1
대구,신암중,2017,동부,중,자체활용,동구 신암동 75
대구,오설초,1994,달성,초,매각,구지면 오설리 873
대구,오천초,1993,군위,초,대부,군위군 효령면 오천리 164-3
대구,"용계초
오동분교",1989,달성,초,매각,가창면 오리 785-1
대구,"용계초
정대분교",1994,달성,초,매각,가창면 정대리 273-1
대구,"우록초
백록분교",1983,달성,초,매각,가창면 우록리 1039
대구,유가초,2016,달성,초,자체활용,달성군 유가읍 유곡리 978
대구,유가초한정분교,2007,달성,초,매각,달성군 유가면 한정리 224-1
대구,유산초,1994,달성,초,매각,구지면 유산리 515
대구,의흥동부초,1999,군위,초,자체활용,군위군 의흥면 연계리 407-1
대구,죽전중,2020,남부,중,자체활용,달서구 죽전동 176
대구,중앙초,1995,동부,초,매각,중구 공평동 15
대구,"지산초
범물분교",1988,동부,초,매각,수성구 범물동 1118-1
대구,평광초,1994,동부,초,대부,동구 평광동 1096
대구,"현풍초
포산분교",1992,달성,초,매각,현풍면오산리 636-1
대구,"현풍초
현남분교",2007,달성,초,매각,현풍면 지리 988
