시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
강원,가로초등학교,1983,인제교육지원청,초,매각,인제군 남면 가로리 517-1
강원,가산초 품걸분교장,2005,춘천,초,대부,춘천시 동면 품걸리 75-1
강원,가산초 품안분교장,1998,춘천교육지원청,초,매각,춘천시 동면 품걸리 243-1
강원,가정초 박암분교장,1993,춘천교육지원청,초,매각,춘천시 남면 박암리 275-2
강원,가정초등학교,2009,춘천,초,자체활용,춘천시 남면 가정리 838-1
강원,가천초등학교,1994,횡성,초,대부,횡성군 강림면 강림리 212
강원,가평초등학교,2020,평창,초,대부,평창군 대화면 하안미리 417
강원,간성초 선혜분교장,1990,고성,초,대부,고성군 간성읍 탑동2리 산142-1
강원,간척초등학교,1999,화천,초,대부,화천군 간동면 간척리 474
강원,갈래초 대성분교장,1998,정선교육지원청,초,매각,정선군 고한읍 고한리 334-65
강원,갈래초 만항분교장,1998,정선교육지원청,초,매각,정선군 고한읍 고한리 산214-3
강원,갈래초 박심분교장,1996,정선교육지원청,초,매각,정선군 고한읍 고한리 317-1
강원,갈전초 중봉분교장,1991,삼척교육지원청,초,매각,삼척시 하장면 중봉리 316
강원,갈전초 추동분교장,1998,삼척교육지원청,초,매각,삼척시 하장면 추동리 188
강원,갑천초 금성분교장,2018,횡성,초,대부,횡성군 갑천면 하대리 44
강원,강림초 부곡분교장,2011,횡성,초,미활용,횡성군 강림면 부곡리 617
강원,강림초 월현분교장,1995,횡성,초,미활용,횡성군 강림면 월현리 1314
강원,강포초등학교,2012,철원,초,대부,철원군 갈말읍   강포리 81-4
강원,거문초 봉산분교장,1998,평창교육지원청,초,매각,평창군 진부면 봉산리 162
강원,거문초 신기분교장,2008,평창교육지원청,초,매각,평창군 진부면 신기리 190
강원,거진초 송정분교장,2016,고성,초,대부,고성군 거진읍 송정리 139
강원,계촌초 대미분교장,2012,평창,초,미활용,평창군 방림면 계촌리 520
강원,계촌초 방의분교장,1994,평창,초,미활용,평창군 방림면 계촌리 2290
강원,계촌초 수동분교장,1994,평창교육지원청,초,매각,평창군 방림면 계촌리 249-1
강원,고산초 입암분교장,1990,원주교육지원청,초,매각,원주시 호저면 고산리 149-1
강원,고한여자고등학교,2008,정선,고,자체활용,정선군 고한읍 고한리 80
강원,고한여자중학교,2008,정선,중,자체활용,정선군 고한읍 고한리 80
강원,공근초 가곡분교장,1999,횡성교육지원청,초,매각,횡성군 공근면 가곡리 328
강원,공근초 공명분교장,2006,횡성교육지원청,초,매각,횡성군 공근면 공근리 41
강원,공근초 광덕분교장,2012,횡성,초,대부,횡성군 공근면 초원리 134-1
강원,광덕초,2005,양구,초,미활용,양구군 남면  적리 447-9 
강원,광덕초 보명분교장,1982,화천교육지원청,초,매각,화천군 사내면 광덕리 435-1
강원,광산초 흘리분교장,2024,고성,초,미활용,고성군 간성읍 흘리 55
강원,광판초 통곡분교장,1995,춘천교육지원청,초,매각,춘천시 남산면 산수리 274-3
강원,교학초 구룡분교장,1983,원주교육지원청,초,매각,원주시 소초면 학곡리 1014
강원,구래초 백운분교장,1993,영월교육지원청,초,매각,영월군 상동읍 구래리 127
강원,구래초 봉암분교장,1991,영월교육지원청,초,매각,영월군 상동읍 구래리 산1-1
강원,구송초 영신분교장,1998,홍천교육지원청,초,매각,홍천군 화촌면 풍천리 393-6
강원,구송초 화성분교장,2007,홍천,초,대부,홍천군 화촌면 구성포리 950-2
강원,군평초등학교,1999,홍천,초,대부,홍천군 화촌면 장평리 887-1
강원,궁촌초 양지분교장,1994,삼척,초,대부,삼척시 근덕면  궁촌리 23
강원,귀래초 귀운분교장,2016,원주교육지원청,초,매각,원주시 귀래면 귀래리 1343
강원,귀운초 양아치분교장,1983,원주교육지원청,초,매각,원주시 귀래면 귀래리 산131
강원,근덕초 교곡분교장,1999,삼척,초,대부,삼척시 근덕면  교곡리 253
강원,근덕초 궁촌분교장,2023,삼척,초,미활용,삼척시 근덕면 궁촌리 397
강원,근덕초 노곡분교장,2016,삼척교육지원청,초,매각,삼척시 노곡면 하월산리 162-3
강원,근덕초 동막분교장,2018,삼척,초,미활용,삼척시 근덕면 동막리 381
강원,근덕초 둔달분교장,1998,삼척교육지원청,초,매각,삼척시 노곡면 둔달리 20
강원,근덕초 마읍분교장,2016,삼척,초,미활용,삼척시 노곡면 중마읍리 102
강원,근덕초 양평분교장,2001,삼척교육지원청,초,매각,삼척시 근덕면 동막리 1347
강원,금대초 애신분교장,1984,원주교육지원청,초,매각,원주시 판부면 금대리 140-1
강원,금대초 일론분교장,1985,원주교육지원청,초,매각,원주시 판부면 금대리 1312-1
강원,금룡초등학교,2000,영월교육지원청,초,매각,영월군 주천면 용석리 1085
강원,금마초등학교,2007,영월교육지원청,초,매각,영월군 주천면 금마리 1087
강원,금병초 혈동분교장,1998,춘천,초,대부,춘천시 신동면 혈동리 170
강원,금산초 덕두원분교장,1999,춘천교육지원청,초,매각,춘천시 서면 덕두원리 144-1
강원,기린초 방동분교장,2022,인제,초,미활용,인제군 기린면  방동리 520 
강원,기린초 북리분교장,1994,인제교육지원청,초,매각,인제군 기린면 북리 433
강원,기린초 추대분교장,1999,인제교육지원청,초,매각,인제군 기린면 진동리 662
강원,기화초 수청분교장,1991,평창교육지원청,초,매각,평창군 미탄면 수청리 136-3
강원,기화초 한탄분교장,1994,평창,초,대부,평창군 미탄면 한탄리 231
강원,김화초교 운장분교장,1992,철원교육지원청,초,매각,철원군 김화읍 생창리103번지
강원,남산초 발산분교장,2006,춘천,초,대부,춘천시 남면 발산리 77-3
강원,남산초 삼창분교장,1997,홍천,초,미활용,홍천군 홍천읍 삼마치리 174-1
강원,남산초 장전분교장,1997,홍천,초,자체활용,홍천군 홍천읍 장전평리 252
강원,남선초 광덕분교장,2005,정선,초,대부,정선군 남면 광덕리 1058
강원,남선초 낙동분교장,2010,정선교육지원청,초,매각,정선군 남면 낙동리 613
강원,남선초 웅동분교장,1989,정선교육지원청,초,매각,정선군 남면 문곡리 505
강원,남선초 자미분교장,1994,정선,초,대부,정선군 남면 문곡리 265-1
강원,남천초등학교장,2008,속초양양,초,미활용,양양군 현북면 도리19
강원,남평초 문곡분교장,1993,정선,초,미활용,정선군 남면  문곡리 265-1 
강원,내덕초 삼덕분교장,1991,영월교육지원청,초,매각,영월군 상동읍 덕구리 산10-14
강원,내덕초등학교,2000,영월교육지원청,초,매각,영월군 상동읍 내덕리 227-2
강원,내촌초 대봉분교장,1999,홍천교육지원청,초,매각,홍천군 내촌면 화상대리 694-2
강원,내촌초 동창분교장,2021,홍천,초,대부,홍천군 내촌면 물걸리 646
강원,내촌초 연지분교장,1999,홍천,초,대부,홍천군 내촌면 화상대리 130-1
강원,내촌초 와야분교장,2009,홍천,초,대부,홍천군 내촌면 와야리 881-1
강원,내촌초 협성분교장,1999,홍천,초,대부,홍천군 두촌면 괘석리 420-1
강원,노곡초 여삼분교장,1995,삼척,초,대부,삼척시 노곡면  여삼리 193-5
강원,노림초등학교,2004,원주,초,대부,원주시 부론면 노림리 403
강원,노천초 화방분교장,1994,홍천,초,대부,홍천군 동면 노천리 623-1
강원,녹전초 내리분교장,2007,영월교육지원청,초,매각,영월군 김삿갓면 내리 498-3
강원,녹전초 송운분교장,1998,영월교육지원청,초,매각,영월군 중동면 녹전리 17-4
강원,녹전초 직동분교장,1998,영월교육지원청,초,매각,영월군 중동면 직동리 534-2
강원,논미초 추곡분교장,1982,화천교육지원청,초,매각,화천군 하남면 안평리 1244
강원,다목초 대성분교장,1982,화천교육지원청,초,매각,화천군 상서면 다목리 148-1
강원,다수초 뇌운분교장,1991,평창교육지원청,초,매각,평창군 평창읍 뇌운리 121-3
강원,다수초등학교,1999,평창,초,미활용,평창군 평창읍  다수리 304 
강원,당평초 명신분교장,1995,횡성교육지원청,초,매각,횡성군 갑천면 병지방리 338-6
강원,대붕초 동촌분교장,1999,화천교육지원청,초,매각,화천군 화천읍 동촌리 434-1
강원,대붕초 모일분교장,1993,화천교육지원청,초,매각,화천군 화천읍 동촌리 1288
강원,대붕초 수동분교장,1991,화천교육지원청,초,매각,화천군 화천읍 동촌리 2412
강원,대붕초등학교,1999,화천,초,자체활용,화천군 화천읍 대이리 98-3
강원,대안초등학교,1995,원주교육지원청,초,매각,원주시 흥업면 대안리 1072
강원,대진초 마달분교장,1994,고성,초,대부,고성군 현내면 마달리 198
강원,대화초 개수분교장,1999,평창,초,대부,평창군 대화면 개수리 742-1
강원,덕거초등학교,1998,평창교육지원청,초,매각,평창군 봉평면 덕거리 386-2
강원,덕고초등학교,2009,횡성교육지원청,초,매각,횡성군 횡성읍 정암리 454
강원,덕두원초 명덕분교장,1982,춘천교육지원청,초,매각,춘천시 서면 덕두원리 711-7
강원,덕원초등학교,1995,횡성교육지원청,초,매각,횡성군 우천면 오원리 618-1
강원,도계여자중학교,2023,삼척,중,자체활용,삼척시 도계읍  도계리 256
강원,도계초 동덕분교장,2007,삼척,초,미활용,삼척시 도계읍 상덕리 89-1
강원,도계초 소달분교장,2023,삼척,초,미활용,삼척시 도계읍 고사리 136-1
강원,도계초 심포분교장,2004,삼척교육지원청,초,매각,삼척시 도계읍 심포리 267-3
