시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
광주,(구)하남초등학교,2009,서부,초,대부,광산구 하남동 395 일원
광주,대촌동초등학교,2002,서부,초,대부,남구 양과동 890 일원
광주,본량중학교,1999,서부,중,대부,광산구 남산동 618-8 일원
광주,본량초등학교 선동분교장,1993,서부,초,자체활용,광산구 선동 494 일원
광주,비아남초등학교,1998,서부,초,매각,광주광역시 광산구 신가동 1-1
광주,삼도남초등학교,1998,서부,초,대부,광산구 삼도동 823-1 일원
광주,삼도초등학교 삼거분교장,1995,서부,초,매각,광주광역시 광산구 삼거동 400-4
광주,송정동초등학교 송남분교장,1997,서부,초,매각,광주광역시 광산구 신촌동 532-62
광주,송정중앙초등학교 서봉분교장,1994,서부,초,매각,광주광역시 광산구 서봉동 518
광주,임곡초등학교 등임분교장,1995,서부,초,매각,광주광역시 광산구 등임동 410
광주,주암초등학교,1994,동부,초,매각,광주광역시 북구 대촌동 833-2
광주,지원중학교,2009,동부,중,자체활용,동구 소태동 491 일원
광주,지원초등학교,1997,동부,초,매각,광주광역시 동구 내남동 299-1
광주,평동서초등학교,1998,서부,초,자체활용,광산구 동산동 225 일원
광주,하남초등학교 하북분교장,1995,서부,초,매각,광주광역시 광산구 진곡동 21-5 일원
