시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
경북,가곡초등학교,1998,영양,초,매각,영양군 일월면 가곡리 220
경북,가례초,1994,김천,초,매각,김천시 대덕면 가례리 252
경북,가산초등학교동창분교장,1996,칠곡,초,매각,칠곡군 가산면 가산리 635-1
경북,가산초등학교선석분교장,1991,칠곡,초,매각,칠곡군 가산면 석우리 567
경북,가산초등학교하판분교장,1997,칠곡,초,매각,칠곡군 가산면 송학리 268
경북,가은초 갈전분교,1992,문경,초,매각,문경시 가은읍 갈전리 287-2
경북,가은초 문양분교,2002,문경,초,매각,문경시 가은읍 전곡리 288-2
경북,가음중학교,2017,의성,초,미활용,의성군 가음면 장리 1276
경북,가음초순호분교장,1996,의성,초,매각,의성군 가음면 순호리 790
경북,가정초등학교,1999,경주,초,자체활용,경주시 현곡면 가정리 49-2
경북,가천고등학교,2017,성주,고,자체활용,성주군 가천면 창천리861
경북,가천초등학교무학분교장,2018,성주,초,미활용,성주군 금수면 무학리 1410
경북,가천초등학교법전분교장,1990,성주,초,매각,경상북도 성주군 가천면 법전1리 193-3번지
경북,가천초등학교용계분교장,1992,성주,초,매각,경상북도 성주군 가천면 신계리 726번지
경북,각북초,1998,청도,초,매각,청도군 각북면 남산리 118-2
경북,감문초등학교,1994,김천,초,대부,김천시 감문면 삼성리 1383
경북,감천초 옥천분교,2008,예천,초,매각,예천군 보문면 옥천리 235
경북,감천초등학교덕율분교장,2009,예천,초,자체활용,예천군 감천면 덕율리 143
경북,감포초등학교연동분교장,1989,경주,초,매각,경주시 감포읍 오류리 130
경북,강구초등학교 금진분교,1996,영덕,초,매각,영덕군 강구면 금진리 85
경북,강구초등학교직천분교장,1995,영덕,초,자체활용,영덕군 강구면 원직리 263
경북,강동초등학교단구분교장,2014,경주,초,미활용,경주시 강동면 단구리 1147
경북,강동초등학교왕신분교장,2009,경주,초,대부,경주시 강동면 왕신리 669-1
경북,개일초,1992,청송,초,매각,청송군 현동면 개일리 313
경북,개진초등학교영동분교장,2008,고령,초,미활용,고령군 개진면 생리 251 외
경북,개포초등학교,2000,예천,초,대부,예천군 개포면 신음리 160-1
경북,개포초등학교경진분교장,1999,예천,초,대부,예천군 개포면 경진리 565 외
경북,경주마케팅고등학교,2019,경주,고,자체활용,경주시 산내면 의곡리 70-65
경북,경주초등학교학동분교장,2002,경주,초,미활용,경주시 내남면 비지리 545
경북,경주초등학교화천분교장,2010,경주,초,자체활용,경주시 건천읍 화천리 1328-1
경북,계림초등학교,1992,경산,초,매각,경산시 자인면 계림리 144-9
경북,고경중,2016,영천,중,매각,영천시 고경면 상덕리 365
경북,고경초등학교삼귀분교장,1995,영천,초,대부,영천시 고경면 차당리 산51-2
경북,고계초등학교,1993,봉화,초,매각,봉화군 명호면 고계리 613
경북,고령여자종합고,2010,고령,고,매각,고령군 고령읍 지산리 337
경북,고령여중,2010,고령,중,매각,고령군 고령읍 지산리 323
경북,고령초 덕곡분교,2000,고령,초,매각,고령군 덕곡면 가륜리 229-1
경북,고령초 일량분교,2000,고령,초,매각,고령군 고령읍 내곡리 528-1
경북,고목초등학교,1996,울진,초,대부,울진군  북면 고목리 470-4
경북,고산초만리분교장,1994,의성,초,매각,의성군 안사면 만리리 121
경북,고양초등학교,1999,봉화,초,미활용,봉화군 명호면 양곡리 329-1 외 1필지
경북,곡강초등학교양백분교장,1990,포항,초,매각,포항시 북구 흥해읍 양백리 458
경북,곡송초 광덕분교,1993,김천,초,매각,김천시 감문면 광덕리 458
경북,곡송초등학교,2013,김천,초,미활용,김천시 감문면 태촌리 785
경북,공검중학교,2017,상주,중,매각,상주시 공검면 양정리 158
경북,공검초등학교,2002,상주,초,매각,상주시 공검면 동막리 74
경북,공서초등학교,2013,상주,초,대부,상주시 공성면 금계리 33
경북,공서초등학교성문분교장,1999,상주,초,매각,상주시 공성면 효곡리 491
경북,관하초,2007,청도,초,매각,청도군 매전면 관하리 1226-1
경북,광덕초등학교,1999,안동,초,매각,안동시 풍천면 광덕리 140-4
경북,광덕초등학교,1992,청송,초,자체활용,청송군 진보면 광덕리 271 외 3필지
경북,구)울릉중학교,2020,울릉,중,자체활용,울릉군 울릉읍 도동리 223-8
경북,구곡초,1993,김천,초,매각,김천시 지례면 울곡리 277-1
경북,구구초,1999,영주,초,매각,영주시 단산면 구구리 901-1
경북,구길초등학교,1992,경주,초,매각,경주시 문무대왕면 구길리 233
경북,구례초,1989,김천,초,매각,김천시 어모면 구례리 626
경북,구룡포여자종합고등학교,2012,포항,고,대부,포항시 남구 구룡포읍 병포리 139-1
경북,구룡포여자중학교,2012,포항,중,대부,포항시 남구 구룡포읍 병포리 139-1
경북,구룡포초등학교구남분교장,2014,포항,초,대부,포항시 남구 구룡포읍 구평리 736-1
경북,구룡포초등학교구동분교장,2011,포항,초,매각,포항시 남구 구룡포읍 구룡포리 381-1
경북,구봉초등학교,1995,구미,초,매각,구미시 옥성면 구봉리 368-3
경북,구성초 과곡분교,2009,김천,초,매각,김천시 구성면 송죽리 111
경북,구성초 금평분교,1993,김천,초,매각,김천시 구성면 금평리 496
경북,구성초 임천분교,1999,김천,초,매각,김천시 구성면 임천리 171
경북,구성초등학교양각분교장,2011,김천,초,미활용,김천시 구성면 양각리 402
경북,구수초등학교,1995,안동,초,매각,안동시 길안면 구수리 287
경북,구천초등학교용호분교장,1999,의성,초,미활용,의성군 구천면 용사리 361-1
경북,구천초청산분교장,1995,의성,초,매각,의성군 구천면 청산리 407
경북,금곡초등학교,2009,경산,초,매각,경산시 남천면 금곡리 374
경북,금곡초등학교,1999,영덕,초,대부,영덕군 병곡면 금곡리 269-1
경북,금곡초등학교 유금분교,1993,영덕,초,매각,영덕군 병곡면 금곡리 724
경북,금성여자상업고등학교,2019,의성,고,대부,의성군 금성면 탑리리 960
경북,금성초경애분교장,1983,의성,초,매각,의성군 금성면 탑리리 1140-3
경북,금성초도경분교장,2006,의성,초,매각,의성군 금성면 도경리 845
경북,금성초조문분교장,2005,의성,초,매각,의성군 금성면 초전리 223-5
