시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
경기,(구) 고양중,2013,고양,중,자체활용,고양시 삼송동 45
경기,(구) 군서초,1999,시흥,초,자체활용,시흥시 정왕동 806-20
경기,(구) 삼송초,2014,고양,초,대부,고양시 삼송동 62
경기,(구) 상신초,2017,화성오산,초,대부,화성시 향남읍 상신리 874
경기,(구) 화정초,1994,안산,초,대부,안산시 단원구 화정동 519
경기,(구)교하중,2006,파주,중,자체활용,파주시 다율동 56-8
경기,(구)군남초,2001,연천,초,대부,연천군 군남면 삼거리 597
경기,(구)대광중,2020,연천,중,자체활용,연천군 신서면 도신리 228
경기,(구)동패초,2020,파주,초,자체활용,파주시 동패동 1795
경기,(구)목동초,1999,가평,초,대부,가평군 북면 목동리919
경기,(구)백성초,2018,안성,초,자체활용,안성시 금산동 119
경기,(구)보개초,2021,안성,초,자체활용,안성시 보개면 복평리 162
경기,(구)영성여중,2017,성남,중,자체활용,성남시 수정구 산성동 5
경기,(구)율면초,2001,이천,초,자체활용,이천시 율면  오성리 550-5 
경기,(구)평택중,2024,평택,중,자체활용,평택시 비전동 469-8
경기,가납초 현암분교장,1991,동두천양주,초,미활용,양주시 광적면 비암리 231-4
경기,가양초 비금분교장,1989,구리남양주,초,대부,남양주시 수동면 내방리 325-3
경기,가평초 경반분교장,1984,가평,초,매각,가평군 가평읍 경반리 산1
경기,가평초 승안분교장,1990,가평,초,매각,가평군 가평읍 승안리 302-1
경기,가평초 이화분교장,1989,가평,초,자체활용,가평군 가평읍  이화리 220
경기,갈운초 도원분교장,1988,양평,초,매각,경기도 양평군 청운면 도원리 296
경기,강남초,1994,양평,초,대부,양평군 강하면 동오리 178-1
경기,강서중 양사분교장,1992,강화,중,매각,강화군 양사면 덕하리 117-1
경기,강천초 강남분교장,1999,여주,초,대부,여주시 강천면 굴암리 9-3
경기,강천초 걸은분교장,2002,여주,초,대부,여주시 강천면 걸은리 625-1
경기,계성초 대추분교장,2000,평택,초,매각,평택시 팽성읍 대추리 160-12 외 7필찌
경기,계정초,2007,양평,초,대부,양평군 양동면 계정리 1000
경기,고삼초 고동분교장,1994,안성,초,대부,안성시 고삼면 쌍지리 769-2
경기,고정초 우음분교장,1997,화성오산,초,매각,화성시 송산면 고정리 1250-2
경기,공체초,1996,안성,초,대부,안성시 공도읍 불당리 63-2
경기,관인초 사정분교장,1992,포천,초,대부,포천시 관인면 사정리 136-1
경기,구. 청석초,2005,파주,초,매각,파주시 다율동 492
경기,구.고산초,2024,의정부,초,미활용,의정부시 고산동 464
경기,구.연무중,1994,수원,초,매각,수원시 팔달구 우만동 582
경기,구.종덕초,2020,평택,초,매각,평택시 고덕면 두릉리 608-1(현 좌교리 1378)외 2필지
경기,구·별내초,1999,구리남양주,초,자체활용,남양주시 별내면 광전리 145-5
경기,군남초 북삼분교장,1991,연천,초,대부,연천군 왕징면 북삼리 160
경기,군남초 왕림분교장,1988,연천,초,매각,"연천군 군남면 왕림리 417-1
연천군 군남면 왕림리 420-1"
경기,군서중,2021,시흥,중,자체활용,시흥시 정왕동 1605
경기,금곡초,1998,파주,초,대부,파주시 법원읍 금곡리 336-5
경기,금광초 대문분교장,1996,안성,초,자체활용,안성시 금광면 현곡리 53-3
경기,금왕초,1994,양평,초,대부,양평군 양동면 금왕리 732
경기,금주초,2022,포천,초,자체활용,포천시 영중면 금주리 522-1
경기,기흥중,2019,본청,중,자체활용,용인시 기흥구 신갈동 2-3
경기,남곡초 남곡분교장,2024,용인,초,미활용,용인시 남사읍 아곡리 506
경기,남사초 서촌분교장,1991,용인,초,대부,용인시 남사읍 통삼리 239-1외 2필지
경기,내가초 고부분교장,1989,강화,초,매각,강화군 내가면 고천리 1760-6
경기,내기초 신영분교장,2024,평택,초,자체활용,평택시 포승읍 신영리 269-1
경기,냉정초,1990,포천,초,미활용,포천시 관인면 냉정리 339
경기,다문초 화전분교장,1988,양평,초,매각,경기도 양평군 용문면 화전리 347-1
경기,단석초 거단분교장,1990,양평,초,매각,경기도 양평군 양동면 단석리 1120
경기,대광초 내산분교장,1989,연천,초,자체활용,연천군 신서면 내산리 154-1
경기,대광초 신탄분교장,1990,연천,초,자체활용,연천군 신서면 대광리 174
경기,대남초 육도분교장,1990,안산,초,매각,안산시 단원구 풍도동 산271
경기,대동초 불도분교장,1990,안산,초,매각,안산시 단원구 선감동 28
경기,대동초 선감분교장,1990,안산,초,미활용,안산시 단원구 선감동 667-2
경기,대동초 탄도분교장,2017,안산,초,매각,안산시 단원구 선감동 산146-10
경기,대신초 옥촌분교장,1999,여주,초,대부,여주시 대신면 옥촌리 831-1
경기,덕소초 팔당분교장,1996,구리남양주,초,매각,남양주시 와부읍 팔당리 237-3 외 4필지
경기,도수초 삼성분교장,1997,광주하남,초,자체활용,광주시 남종면 삼성리 347
경기,도수초 우산분교장,1989,광주하남,초,매각,광주군 퇴촌면 우산리 226
경기,동두천초 걸산분교장,1999,동두천양주,초,미활용,동두천시 걸산동 50-8
경기,동부초 배알분교장,1988,광주하남,초,매각,광주군 동부읍 배알미리 4
경기,동탄초 신리분교장,2013,화성오산,초,매각,화성시 동탄면 신리 317-1
경기,마산초 어도분교장,1994,화성오산,초,미활용,화성시 송산면 고포리 826-1
경기,마산초 형도분교장,1999,화성오산,초,매각,화성군 송산면 독지리 200
경기,마석초 녹촌분교장,2019,구리남양주,초,미활용,남양주시 화도읍 녹촌리 272
경기,마장초 개곡분교장,1991,가평,초,매각,가평군 가평읍 개곡리 562-2
경기,만선초 봉현분교장,1995,광주하남,초,대부,광주시 곤지암읍 봉현리 118-3
경기,목동초 광악분교장,1993,가평,초,대부,가평군 북면 화악리 845
경기,목동초 도대분교장,1995,가평,초,미활용,가평군 북면 도대리 139-4
경기,목동초 백둔분교장,1995,가평,초,대부,가평군 북면 백둔리 371-2
경기,목동초 화악분교장,1994,가평,초,대부,가평군 북면 화악리 564-1
경기,목왕초,1987,양평,초,매각,경기도 양평군 양서면 부용리 산96-1
경기,미원초 설악분교장,1998,가평,초,매각,가평군 설악면 설곡리 660
경기,미원초 송산분교장,1989,가평,초,매각,가평군 설악면 송산리 274-1
경기,미원초 엄소분교장,2000,가평,초,대부,가평군 설악면 엄소리 234-30
경기,방일초 가일분교장,1991,가평,초,매각,가평군 설악면 가일리 202
경기,방초초,2023,안성,초,자체활용,안성시 일죽면 방초리 459-2
경기,백마초 장항분교장,2011,고양,초,자체활용,고양시 장항동 580-20
경기,백학초 고랑포분교장,2002,연천,초,대부,연천군 장남면 원당리 678
경기,법원초,2019,파주,초,대부,파주시 법원읍 법원리 500
경기,보개초 가율분교장,2021,안성,초,자체활용,안성시 보개면 이전리 347-2
경기,보장초,2015,포천,초,대부,포천시 창수면 오가리 424
경기,복장포초,2002,가평,초,매각,가평군 가평읍 복장리 140
경기,복장포초 금대분교장,1994,가평,초,자체활용,가평군 가평읍  금대리 520-5
경기,본죽초,2001,이천,초,자체활용,이천시 율면  본죽리 28-3 
경기,부발초 백록분교장,2017,이천,초,자체활용,이천시 부발읍 고백리 42-3
경기,부안초 명성분교장,1995,양평,초,대부,양평군 단월면 명성리 144-2
경기,부용초 노와분교장,2002,평택,초,자체활용,평택시 팽성읍 객사리 160-1
경기,부천덕산초 대장분교장,2021,부천,초,대부,부천시 오정구 대장동 196-1
