시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
경남,(구)갈전초등학교,1999,진주,초,대부,진주시 금산면 갈전리 1441-1
경남,(구)남상초등학교,1999,거창,초,대부,거창군 남상면 대산리 128
경남,(구)대산초등학교,2007,함안,초,대부,함안군 대산면 평림리 398-1
경남,(구)문산중학교,2016,진주,중,자체활용,진주시 문산읍 삼곡리 640-1
경남,(구)미천초등학교,2007,진주,초,대부,진주시 미천면 오방리 141-4
경남,(구)북면초등학교,2014,창원,초,자체활용,창원시 의창구 북면 동전리 141-3
경남,(구)수남초등학교,2009,김해,초,자체활용,김해시 응달동 154-21
경남,(구)양보초등학교,1999,하동,초,자체활용,하동군 양보면 장암리 583
경남,(구)웅천초등학교,2018,창원,초,자체활용,창원시 진해구 성내동 399-4
경남,(구)장재초등학교,2015,진주,초,자체활용,진주시 장재동 582
경남,(구)주촌초등학교,2019,김해,초,자체활용,김해시 주촌면 내삼리 652-1
경남,(구)진양고등학교,2017,본청,고,자체활용,진주시 문산읍 삼곡리 660
경남,(구)진주중앙중학교,1978,본청,중,자체활용,진주시 상평동 272-3
경남,가례초등학교갑을분교장,1999,의령,초,매각,"경상남도 의령군 가례면 
개승리 1791"
경남,가방초등학교,1995,진주,초,매각,경상남도 진주시 금산면 가방리 326
경남,가북초등학교개금분교장,1997,거창,초,매각,경상남도 거창군 가북면 용암리 361-1
경남,가북초등학교어인분교장,1993,거창,초,매각,경상남도 거창군 가북면 우혜리 1103-1
경남,가북초등학교용암분교장,1997,거창,초,대부,거창군 가북면 용암리 1967
경남,가북초등학교중촌분교장,1994,거창,초,매각,경상남도 거창군 가북면 중촌리 1807
경남,가산초등학교,2019,합천,초,매각,경상남도 합천군 가야면 사촌리 166
경남,가인초등학교,1993,밀양,초,대부,밀양시 산내면 가인리 539-1
경남,가조중학교가북분교장,2008,거창,중,매각,경상남도 거창군 가북면 우혜리 1955
경남,가조초등학교가산분교장,1996,거창,초,매각,경상남도 거창군 가조면 장기리 697
경남,가조초등학교도리분교장,1992,거창,초,매각,경상남도 거창군 가조면 도리 967
경남,가천초등학교,1988,합천,초,매각,경상남도 합천군 봉산면 상현리 34
경남,가회초등학교대기분교장,1991,합천,초,매각,경상남도 합천군 가회면 중촌리 420
경남,개명초등학교,1998,거창,초,매각,경상남도 거창군 고제면 개명리 682
경남,개천초등학교좌련분교장,1998,고성,초,매각,경상남도 고성군 개천면 좌연리 633-1
경남,개천초등학교청광분교장,1993,고성,초,매각,경상남도 고성군 개천면 청광리 521-4
경남,거류초등학교대장분교장,1999,고성,초,미활용,고성군 동해면 장좌리 756-2
경남,거류초등학교화당분교장,1995,고성,초,매각,경상남도 고성군 거류면 화당리 399-1
경남,거제초등학교법동분교장,1999,거제,초,대부,거제시 거제면 법동리 266
경남,거제초등학교산달분교장,2003,거제,초,매각,경상남도 거제시 거제면 법동리 266
경남,거창중학교신원분교장,2020,거창,중,매각,경상남도 거창군 신원면 과정리 253
경남,거창초등학교화산분교장,1994,거창,초,자체활용,거창군 거창읍 가지리 435-1
경남,건흥초등학교,1999,사천,초,매각,경상남도 사천시 곤양면 검정리 87
경남,경호중고등학교,2018,산청,고,자체활용,산청군 금서면 화계리645-2
