시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
인천, 미법분교,1994,강화,초,매각,강화군 삼산면 미법리 42
인천,강후초교,2000,강화,초,매각,강화군 하점면 이강리 357
인천,교동초 지석분교,2023,강화,초,미활용,인천광역시 강화군 삼선리 493
인천,길상초 선택분교,2001,강화,초,미활용,인천광역시 강화군 길상면 선두리 962-3
인천,길상초초지분교,2002,강화,초,대부,인천광역시 강화군 길상면 초지리 1140-4
인천,난정초,2019,강화,초,자체활용,인천광역시 강화군 교동면 난정리 1282
인천,"내가초
외포분교",1994,강화,초,매각,강화군 내가면 외포리 404
인천,내리초,1999,남부,초,대부,인천광역시 옹진군 영흥면 내리 61
인천,내서초교,1995,강화,초,매각,강화군 내가면 황청리 119
인천,논현초,2004,동부,초,매각,남동구 논현동 411-53
인천,대청중소청분교,1998,남부,중,자체활용,인천광역시 옹진군 대청면 소청리 454-1
인천,"대청초
노화동분교",1984,남부,초,매각,대청면 소청리 562
인천,"대청초
사탄분교",1993,남부,초,매각,대청면 대청리 1254-1
인천,덕적초,1999,남부,초,매각,옹진군 덕적면 진리 699-1
인천,"덕적초
명신분교",1992,남부,초,매각,옹진군 덕적면 북리 124-2
인천,"덕적초
문갑분교",1999,남부,초,매각,덕적면 문갑리 51
인천,"덕적초
백아분교",1996,남부,초,매각,덕적면 백아리 61
인천,"덕적초
서포분교",1992,남부,초,매각,덕적면 서포리 667-1
인천,"덕적초
소야분교",1998,남부,초,매각,옹진군 덕적면 소야리 236-1
인천,"도화초
옹암분교",1991,남부,초,매각,북도면 장봉리 154
인천,마리산초교,1999,강화,초,미활용,인천광역시 강화군 화도면 덕포리 1212
인천,말도분교,1990,강화,초,매각,강화군 삼산면 말도리 26-1
인천,"백령초
관창분교",1988,남부,초,매각,백령면 진촌리 1087-1
인천,"백령초
사곶분교",1998,남부,초,매각,백령면 진촌리 446
인천,부일초,1995,북부,초,매각,부평구 부평2동 750-21
인천,"북포초
남포분교",1993,남부,초,매각,백령면 남포리 114
인천,"북포초
두무진분교",1991,남부,초,매각,백령면 연화리 산 261-2
인천,"북포초
화동분교",1985,남부,초,매각,백령면 남포리 457
인천,"삼산초
송광분교",1990,강화,초,매각,강화군 삼산면 상리 619
인천,삼산초 서검분교,2000,강화,초,미활용,인천광역시 강화군 삼산면 서검도리 산52-1
인천,서도중 볼음분교,2019,강화,중,미활용,인천광역시 강화군 서도면 볼음도리596-1
인천,서도초,2001,강화,초,매각,강화군 서도면 주문도리 600
인천,서도초 볼음분교,2019,강화,초,미활용,인천광역시 강화군 서도면 볼음도리596-1
인천,선진포초,1996,남부,초,매각,대청면 대청리 421-2
인천,"송현초
세어도분교",1998,서부,초,매각,서구 원창동
인천,신성초교,1997,강화,초,매각,강화군 불은면 넙성리 459-1
인천,"신현북초
청라도분교",2004,서부,초,매각,서구 경서동 253
인천,"신흥초
모도분교",1998,남부,초,매각,북도면 모도리 255-2
인천,"신흥초
시도분교",1993,남부,초,매각,북도면 시도리 305
인천,아차분교,2001,강화,초,매각,강화군 서도면 아차도리
인천,양당초,1999,강화,초,대부,인천광역시 강화군 송해면 양오리 632-4
인천,"양사초
북성분교",1999,강화,초,매각,강화군 양사면 북성리 810-1
인천,양사초서사분교,1998,강화,초,자체활용,인천광역시 강화군 양사면 교산리 363-1
인천,"연평초
소연평분교",2002,남부,초,매각,연평면 연평리 1012
인천,영흥중,1999,남부,중,매각,영흥면 내리 902-1
인천,영흥초선재분교,2015,남부,초,자체활용,인천광역시 옹진군 영흥면 선재리 3
인천,용유초 무의분교,2023,남부,초,미활용,인천광역시 중구 무의동 206-1
인천,"용유초교
무도분교",1995,남부,초,매각,중구 무의동896-3
인천,용유초을왕분교,1976,남부,초,자체활용,인천광역시 중구 을왕동 을왕동 762-1
인천,"용현남초
소이작분교",1992,남부,초,매각,자월면 이작리 227
인천,"용현남초
이화분교",1995,남부,초,매각,자월면 이작리 77-1
인천,"운서초
삼목분교",2002,남부,초,매각,중구 운서동 2073-1
인천,"운서초
신불도분교",1994,남부,초,매각,중구 운서동 산 475-4
인천,인천남중 북도분교,1999,남부,중,미활용,인천광역시 옹진군 북도면 신도리 628
인천,"해명초
 석포분교",1989,강화,초,매각,강화군 삼산면 석포리 295-4
인천,화도초장화분교,1995,강화,초,자체활용,인천광역시 강화군 화도면 장화리 336-3
인천,화동초교,1991,강화,초,매각,강화군 교동면 상용리 38
인천,효열초,1994,남부,초,자체활용,인천광역시 미추홀구 도화동 235
인천,흥왕초,1999,강화,초,자체활용,인천광역시 강화군 화도면 흥왕리 361
