시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
제주,가시초등학교,2001,해당없음,초,미활용,서귀포시 표선면 가시리 1924
제주,고산초산양분교장,1995,해당없음,초,대부,제주시 한경면 청수리 3338
제주,광령초상전분교장,1992,해당없음,초,자체활용,제주시 애월읍 고성리 94
제주,광명분교장,1988,서귀포시,초,매각,서귀포시 안덕면 서광리 2162-3
제주,덕천분교장,1990,제주시,초,매각,제주시 구좌읍 덕천리 300
제주,명월초등학교,1993,해당없음,초,대부,제주시 한림읍 명월리 1734
제주,무릉중학교,1999,해당없음,중,미활용,서귀포시 대정읍 무릉리 3296
제주,무릉초무릉동분교장,1994,해당없음,초,대부,서귀포시 대정읍 무릉리 581-1
제주,보성초구억분교장,1995,해당없음,초,대부,서귀포시 대정읍 구억리 889-1
제주,보성초신평분교장,1992,해당없음,초,대부,서귀포시 대정읍 신평리 371-1
제주,삼양초회천분교장,1996,해당없음,초,자체활용,제주시 회천동 2307
제주,색달분교장,1989,서귀포시,초,매각,서귀포시 색달동 755
제주,서광초동광분교장,2009,해당없음,초,대부,서귀포시 안덕면 동광리 976
제주,신도초등학교,1998,해당없음,초,미활용,서귀포시 대정읍 신도리 1382-1
제주,신도초보흥분교장,1983,해당없음,초,미활용,서귀포시 대정읍 신도리 2595-2
제주,신산중학교,2001,해당없음,중,미활용,서귀포시 성산읍 신산리 953
제주,신산초난산분교장,1995,해당없음,초,미활용,서귀포시 성산읍 난산리 1109
제주,신산초삼달분교장,1998,해당없음,초,대부,서귀포시 성산읍 삼달리 437-5
제주,신창중학교,1998,해당없음,중,미활용,제주시 한경면 신창리 135
제주,안덕초대평분교장,1996,해당없음,초,대부,서귀포시 안덕면 창천리 850
제주,어도초어음분교장,1999,해당없음,초,대부,제주시 애월읍 어음리 2922
제주,연평초등학교,2000,해당없음,초,대부,제주시 우도면 연평리 1457
제주,영락초등학교,1995,해당없음,초,미활용,서귀포시 대정읍 영락리 1278
제주,영천초등학교,2002,해당없음,초,자체활용,서귀포시 상효동 1291-2
제주,용수초등학교,1995,해당없음,초,미활용,제주시 한경면 용수리 3533
제주,장전초금덕분교장,1992,해당없음,초,대부,제주시 애월읍 유수암리 1387
제주,조수초등학교,1995,해당없음,초,대부,제주시 한경면 조수리 315
제주,조천초신흥분교장,2010,해당없음,초,자체활용,제주시 조천읍 신흥리 94
제주,창천초상천분교장,1992,해당없음,초,미활용,서귀포시 안덕면 상천리 470-2
제주,추자초횡간분교장,1991,해당없음,초,미활용,제주시 추자면 대서리 산68
제주,판포초등학교,1996,해당없음,초,대부,제주시 한경면 판포리 2846-1
제주,풍천초신풍분교장,1996,해당없음,초,대부,서귀포시 성산읍 신풍리 500
제주,하천초등학교,2001,해당없음,초,미활용,서귀포시 표선면 하천리 357-1
제주,화산초등학교,2001,해당없음,초,대부,서귀포시 표선면 세화리 1811-1
제주,화전분교장,1988,제주시,초,매각,제주시 애월읍 어도리 산25-1
