시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
전북,가천초 구룡분교,1992,완주,초,매각,완주군 경천면 용북리 468-1
전북,갈담초 금기분교,1998,임실,초,매각,임실군 운암면 운암리 533
전북,갈담초 옥정분교,2002,임실,초,매각,임실군 강진면 옥정리 235
전북,갈담초 학석분교,1993,임실,초,매각,임실군 강진면 학석리 164
전북,감교초,1999,부안,초,매각,부안군 상서면 감교리 505
전북,개야도초 죽도분교,1992,군산,초,매각,군산시 옥도면 죽도 산 7
전북,개정초 운회분교,1999,군산,초,매각,군산시 개정면 운회리 373
전북,계북초 백암분교,1999,장수,초,매각,장수군 계북면 임평리 802
전북,계북초 월전분교,1991,장수,초,매각,장수군 계북면 월현 280
전북,계월초,1995,장수,초,매각,장수군 산서면 하월 312-1
전북,계화초,2024,부안,초,자체활용,부안군 계화면 계화리 233
전북,고산동초,2010,완주,초,매각,완주군 고산면 소향리 318-1
전북,고산초 수선분교,1999,완주,초,매각,완주군 비봉면 수선리 256
전북,고성초,2006,부안,초,자체활용,부안군 행안면  삼간리 405-1
전북,고수남초,1997,고창,초,매각,고창군 고수면 초내리 202
전북,고수초 조산분교,1992,고창,초,매각,고창군 고수면 상평리 257
전북,고절초,1998,남원,초,매각,남원시 보절면 괴양 187
전북,고창동초,1994,고창,초,매각,고창군 고창읍 월산리 499
전북,고창서초,1998,고창,초,매각,고창군 고창읍 덕정리 39
전북,고창서초 호암분교,1998,고창,초,매각,고창군 고창읍 신월리 90-2
전북,곰소초 석포분교,1993,부안,초,자체활용,부안군 진서면 석포리 546
전북,곰소초 진서분교,1999,부안,초,매각,부안군 진서면 진서리 648-1
전북,공음고,1994,고창,고,자체활용,고창군 공음면  칠암리 570-1
전북,공정초,1997,무주,초,매각,무주군 안성면 공정 1720
전북,공진초,2007,무주,초,매각,무주군 안성면 공진리 884-1
전북,관청초,2019,정읍,초,자체활용,정읍시 고부면 관청리 548
전북,관촌동초,1991,임실,초,자체활용,임실군 관촌면 방수리 654-1
전북,관촌초 회봉분교,1993,임실,초,매각,임실군 관촌면 회봉리 264
전북,관촌초상월분교,1999,순창,초,매각,임실군 관촌면 신전리 107-2
전북,광덕초,1998,남원,초,매각,남원시 대강면 생암 257-1
전북,괴목초 초리분교,1991,무주,초,매각,무주군 적상면 북창 271
전북,구림초 금천분교,1993,순창,초,매각,순창군 구림면 금천리 378
전북,구봉초,1998,진안,초,매각,진안군 주천면 운봉리 182-1
전북,구천초 오정분교,1992,무주,초,매각,무주군 무풍면 삼거 284-1
전북,금과중,2000,순창,중,매각,순창군 금과면 모정리 133
전북,금과초 금과서분교,1991,순창,초,매각,순창군 금과면 목동리 산 7
전북,금구초 희남분교,1991,김제,초,매각,김제시 금구면 낙성리 3-1
전북,금국초,1999,순창,초,매각,순창군 쌍치면 금성리 276
전북,금남초,2024,김제,초,자체활용,김제시 금산면 용산리 405
전북,금사초,1997,무주,초,매각,무주군 안성면 금평 1390
전북,금성초,2018,익산,초,자체활용,익산시 성당면 두동리 702
전북,금평초,1991,무주,초,자체활용,무주군 무풍면 금평리 1537
전북,기곡초,1993,무주,초,매각,무주군 설천면 기곡 403
전북,김제중앙초 대촌분교,1999,김제,초,매각,김제시 복죽동 293
전북,나장초,2002,군산,초,매각,군산시 나포면 나포리 120
전북,난신초,1997,부안,초,자체활용,부안군 줄포면 신리 300
전북,남생초,1994,남원,초,매각,남원시 주생면 낙동 565-1
전북,남성초,1998,정읍,초,매각,정읍시 소성면 중광 578
전북,남원북초 보성분교,1994,남원,초,매각,남원시 내척동 312
전북,남원북초 신생분교,1993,남원,초,매각,남원시 용정동 333-2
전북,남원성동초,1997,남원,초,매각,남원시 식정동 448
전북,남평초,2000,남원,초,매각,남원시 이백면 남계 563
전북,내도초,1997,무주,초,자체활용,무주군 무주읍 내도리 133-1
전북,내월초,1994,순창,초,매각,순창군 적성면 내월리 620-1
전북,내장공원초,1994,정읍,초,자체활용,정읍시 내장동 산83
전북,능교초 두월분교,1997,정읍,초,매각,정읍시 산내면 두월 1219
전북,능교초 매죽분교,1993,정읍,초,매각,정읍시 산내면 능교 333
전북,능교초 산내분교,1997,정읍,초,매각,정읍시 산내면 장금 222
전북,능교초 장금분교,1997,정읍,초,매각,정읍시 산내면 장금 1117
전북,답동초,2000,순창,초,매각,순창군 복흥면 답동리 151-1
전북,당오초,2004,부안,초,매각,부안군 동진면 당상리 38-1
전북,대덕초 안덕분교,1993,완주,초,매각,완주군 구이면 안덕리 257
전북,대론초,2000,장수,초,매각,장수군 번암면 대론리 221
전북,대론초 성암분교,1991,장수,초,매각,장수군 번암면 논곡 163-1
전북,대룡초,1999,정읍,초,매각,정읍시 감곡면 통석리 826
전북,대불초,1999,진안,초,매각,진안군 주천면 대불리 1139
전북,대산초 장자분교,1993,고창,초,매각,고창군 대산면 해룡리 248-5
전북,대성고,2004,고창,고,자체활용,고창군 대산면 매산리 1157-1
전북,대성초,1999,장수,초,매각,장수군 장수읍 대성리 569
전북,대성초 식천분교,1991,장수,초,매각,장수군 장수읍 식천 226
전북,대수초,2006,부안,초,자체활용,부안군 백산면  대수리 450-2
전북,대아초 인천분교,1992,고창,초,매각,고창군 아산면 용계리 385
전북,대야초광산분교,2023,군산,초,자체활용,군산시 대야면 접산리 391-15
전북,덕과초 덕과북분교,1999,남원,초,매각,남원시 덕과면 용산리 319-2
전북,덕동초 내령분교,1983,남원,초,매각,남원시 산내면 내령 342
전북,덕동초 와운분교,1984,남원,초,매각,남원시 산내면 부운 317
전북,덕림초,1995,고창,초,매각,고창군 무장면 덕림리 384
전북,덕안초,1994,진안,초,매각,진안군 마령면 덕천리 520-5
전북,덕암초,1999,고창,초,매각,고창군 공음면 덕암리 336
