시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
전남,가거도초대풍분교장,1995,신안,초,매각,신안군 흑산면 가거도리 11
전남,가거도초항리분교장,1998,신안,초,매각,신안군 흑산면 가거도리 928
전남,가송분교장,1994,나주,초,매각,나주시 공산면 가송리 10-2
전남,가화초등학교,1998,고흥,초,매각,고흥군 도화면 가화리 556
전남,간문초중대분교장,1999,구례,초,매각,구례군 간전면 중대리 79
전남,간문초효곡분교장,1999,구례,초,매각,구례군 간전면 효곡리 366-1
전남,강진군동중학교,2008,강진,중,자체활용,강진 군동면 라천리 161
전남,강진북초등학교,2024,강진,초,미활용,강진 강진읍 서산리 252-10
전남,강진서초등학교,2009,강진,초,매각,강진군 강진읍 학명리 320-1
전남,강진서초영파분교장,1991,강진,초,미활용,강진 강진읍 영파리 565
전남,거문중초도분교장,2017,여수,초,미활용,여수 삼산면 초도리 산456
전남,거문초덕촌분교장,2019,여수,초,미활용,여수 삼산면 덕촌리 814-1
전남,거문초동도분교장,2020,여수,초,미활용,여수 삼산면 동도리 1012
전남,거문초서도분교장,2019,여수,초,자체활용,여수 삼산면 서도리 25
전남,거문초손죽분교장,2022,여수,초,대부,여수 삼산면 손죽리 산1466
전남,거자초죽도분교장,1984,진도,초,매각,진도군 조도면 맹골도리 111-9
전남,겸면초등학교,2004,곡성,초,매각,곡성군 겸면 남양리 116
전남,겸면초마삼분교장,2004,곡성,초,대부,곡성 겸면 마전리 566   
전남,겸백초남양분교장,1995,보성,초,매각,보성군 겸백면 남양리1015
전남,겸백초은덕분교장,1994,보성,초,미활용,보성 겸백면 은덕리 19
전남,경호초소경분교장,2013,여수,초,매각,여수시 경호동 783-3
전남,계곡동초등학교,1992,해남,초,매각,해남군 계곡면 당산리 107-1
전남,계곡초계곡서분교장,2009,해남,초,매각,해남군 계곡면 사정리 377
전남,계산초남포분교장,1995,장흥,초,매각,장흥군 용산면 상발리 693
전남,고금남초등학교,1999,완도,초,매각,완도군 고금면 회룡리 157번지
전남,고금초가교분교장,2000,완도,초,매각,완도군 고금면 가교리 863번지
전남,고금초덕도분교장,1997,완도,초,매각,완도군 고금면 덕동리 120번지
전남,고금초덕동분교장,2002,완도,초,매각,완도군 고금면 덕동리 351번지
전남,고금초봉명분교장,1994,완도,초,매각,완도군 고금면 봉명리 228번지
전남,고금초용초분교장,1993,완도,초,매각,완도군 고금면 용초리  945-1번지
전남,고금초척찬분교장,1993,완도,초,매각,완도군 고금면 도남리 1210번지
전남,고금초청학분교장,1994,완도,초,매각,완도군 고금면 청학리 458-9번지
전남,고마분교장,1992,나주,초,매각,나주시 다도면 판촌리 280
전남,고서초주산분교장,1999,담양,초,미활용,담양 고서면 주산리 516
전남,고성초오룡분교장,2008,진도,초,매각,진도군 조도면 진목도 24-3
전남,고야초등학교,1995,진도,초,매각,진도군 지산면 고야리 686-8
전남,고흥남초등학교,1995,고흥,초,자체활용,고흥 포두면 등암리 326-1
전남,고흥서초등학교,1997,고흥,초,매각,고흥군 고흥읍 호동리 1334
전남,곡성동초등학교,1998,곡성,초,매각,곡성군 곡성읍 장선리 981
전남,곡성여자중학교,2004,곡성,중,자체활용,곡성 곡성읍 읍내리 446-1
전남,곡성입면중학교,2005,곡성,중,자체활용,곡성 입면 송전리 5 73
전남,곡성중앙초등학교,2004,곡성,초,자체활용,곡성 곡성읍 읍내리 192
전남,곡성중앙초압록분교장,2005,곡성,초,매각,곡성군 오곡면 압록리 72-2
전남,공산고등학교,2013,나주,고,대부,나주 공산면 금곡리 819-4 
전남,과역동초교진지분교장,1992,고흥,초,매각,고흥군 과역면 백일리 1016-9
전남,과역동초등학교,2007,고흥,초,매각,고흥군 과역면 연등리 371-2
전남,과역동초백일분교장,2007,고흥,초,미활용,고흥 과역면 백일리 산908
전남,과역북초등학교,1995,고흥,초,매각,고흥군 과역면 도천리 319
전남,과역서초등학교,1997,고흥,초,매각,과역면 노일리 1000
전남,관매초각흘분교장,1993,진도,초,매각,진도군 조도면 관매도리 701-2
전남,관산초남송분교장,1999,장흥,초,매각,장흥군 관산읍 남송리 400
전남,관산초영성분교장,2008,장흥,초,미활용,장흥 관산읍 죽청리 420-1
전남,관평초등학교,1993,나주,초,매각,나주시 평산동 169
전남,광덕초등학교,1992,담양,초,매각,담양군 금성면 덕성리 567
전남,광석초등학교,2009,진도,초,매각,진도군 임회면 삼막리 251
전남,광양서초석사분교장,1995,광양,초,매각,광양시 봉강면 석사리 913-1
전남,광양옥룡중학교,2009,광양,중,자체활용,광양 옥룡면 용곡리 672
전남,광양용강초사곡분교장,2007,광양,초,매각,광양시 광양읍 사곡리 1005
전남,광양진월중진중분교장,2002,광양,중,매각,광양시 진월면 오사리 135-193
전남,광양태금중학교,2011,광양,중,자체활용,광양 태인동 303 
전남,광촌분교장,2007,나주,초,매각,나주시 남평읍 광촌리 507
전남,구례중앙초계산분교장,1994,구례,초,매각,구례군 구례읍 하유길 9
전남,구례중앙초신월분교장,2000,구례,초,매각,구례군 구례읍 신월리 139-4
전남,구림초교군서중앙분교장,1998,영암,초,매각,영암군 군서면 월곡리 470
전남,군곡초등학교,2011,해남,초,미활용,해남 송지면 군곡리 435
전남,군남서초등학교,1998,영광,초,매각,영광군 군남면 설매리 627
전남,군남초대창분교장,1999,영광,초,매각,영광군 군남면 대덕리 1269-1
전남,군내북초나신분교장,1995,진도,초,매각,진도군 군내면 나리 363-2
전남,군내초등학교,1999,진도,초,매각,진도군 군내면 분토리 216-1
전남,군내초한의분교장,1996,진도,초,매각,진도군 군내면 덕병리 산156
전남,군농초등학교,1998,보성,초,매각,보성군 회천면 군농리592
전남,군동금천초등학교,1995,강진,초,매각,강진군 군동면 용소리 877
전남,군서남초등학교,1999,영암,초,매각,영암군 군서면 모정리 787
전남,군서북초등학교,1999,영암,초,미활용,영암 군서면 해창리 494-2
전남,군서송학초등학교,1997,영광,초,매각,영광군 군서면 송학리 219-1
전남,군외남초등학교,1999,완도,초,매각,완도군 군외면 삼두리 728-2번지
전남,군외초고마분교장,2000,완도,초,매각,완도군 군외면 불목리 50번지
전남,군외초달도분교장,1995,완도,초,매각,완도군 군외면 원동리 696번지
전남,군외초등학교불목분교장,2020,완도,초,매각,군외면 불목리 242-1
전남,군외초백일분교장,2010,완도,초,매각,완도군 군외면 당인리 산106-24번지
전남,군외초사후분교장,2001,완도,초,매각,완도군 군외면 영풍리 730번지
전남,군외초토도분교장,1995,완도,초,매각,완도군 군외면 황진리 산184-1번지
전남,군외초화도분교장,1991,완도,초,매각,완도군 군외면 당인리 산76번지
전남,군외초황진분교장,1999,완도,초,매각,완도군 군외면 황진리 405번지
전남,군외초흑일분교장,2000,완도,초,매각,완도군 군외면 당인리 701번지
전남,굴전초등학교,1999,여수,초,매각,여수시 돌산읍 평사리 1323
전남,금계분교장,1989,나주,초,매각,나주시 문평면 북동리
전남,금당중앙초허우분교장,1996,완도,초,매각,완도군 금당면 차우리 1477번지
전남,금당초가학분교장,1995,완도,초,매각,완도군 금당면 가학리 291
전남,금당초대화분교장,1989,완도,초,매각,완도군 금당면 육산리 산331번지
전남,금당초비견분교장,2009,완도,초,매각,완도군 금당면 차우리 1555번지
전남,금당초차우분교장,1999,완도,초,매각,완도군 금당면 차우리 775
전남,금도초등학교,1985,광양,초,매각,광양시 골약면 금호리 149
전남,금봉초봉양분교장,1994,여수,초,매각,여수시 돌산읍 금봉리 425
전남,금산남초등학교,2009,고흥,초,매각,금산면 오천리 486
전남,금산동초등학교,1999,고흥,초,매각,고흥군 금산면 신평리 206
전남,금산제일초교익금분교장,1999,고흥,초,매각,고흥군 금산면 어전리 436
전남,금산제일초금장분교장,1999,고흥,초,매각,고흥군 금산면 어전리 28-1
전남,금산제일초등학교,2009,고흥,초,매각,고흥군 금산면 어전리 1240
전남,금산종합고등학교,2015,고흥,고,대부,고흥 금산면 대흥리 1176  
전남,금산중동분교장,2009,고흥,중,매각,고흥군 금산면 오천리 86-2
전남,금산초교금산서분교장,1997,고흥,초,매각,고흥군 금산면 신촌리 1122
전남,금산초금산중앙분교장,2001,고흥,초,매각,고흥군 금산면 석정리 275-7
전남,금산초연홍분교장,1998,고흥,초,매각,고흥군 금산면 신전리 880
전남,금성남초등학교,1993,담양,초,매각,담양군 금성면 외추리 75-1
전남,금성초등학교,1999,여수,초,미활용,여수 돌산읍 금성리 475
전남,금일동초다랑분교장,1994,완도,초,매각,완도군 금일읍 사동리 314번지
전남,금일동초소랑분교장,1992,완도,초,매각,완도군 금일읍 사동리 746번지
전남,금일동초우도분교장,1998,완도,초,매각,완도군 금일면 사동리 364번지
전남,금일초덕우분교장,2006,완도,초,매각,완도군 생일면 봉선리 862번지
전남,금일초신도분교장,2011,완도,초,매각,완도군 금일읍 척치리 산484-1번지
전남,금일초원도분교장,1992,완도,초,매각,완도군 금일읍 장원리 158번지?
전남,금일초일정분교장,1998,완도,초,매각,완도군 금일읍 장정리 595번지
전남,금일초장도분교장,1991,완도,초,매각,완도군 금일읍 장원리 43번지
전남,금일초충도분교장,1998,완도,초,매각,완도군 금일읍 충동리 1466번지
전남,금일초황제분교장,1992,완도,초,매각,완도군 금일읍 동백리 산237번지
전남,금정초교금정북분교장,1998,영암,초,매각,영암군 금정면 안노리 1094-6
전남,금정초청룡분교장,1999,영암,초,미활용,영암 금정면 청용리 899
전남,금정초한대분교장,1992,영암,초,미활용,영암 영암읍 한대리 2
전남,금천남초등학교,2008,나주,초,매각,나주시 금천면 동악리 566
전남,금천동초등학교,2009,나주,초,매각,나주시 금천면 석전리 377
전남,길은초보전분교장,1996,진도,초,매각,진도군 지산면 보전리 353
전남,나로고등학교,2014,고흥,초,미활용,고흥 봉래면 신금리 838
전남,나산고등학교,2015,함평,고,자체활용,함평 나산면 삼축리 1184-3
전남,나산북초등학교,1995,함평,초,매각,함평군 나산면 송암리 750
전남,나산중학교,2017,함평,중,자체활용,함평 나산면 삼축리 1166-1
전남,나산초구산분교장,1995,함평,초,매각,함평군 나산면 구산리 58-1
전남,나산초송암분교장,1995,함평,초,매각,함평군나산면 초포리 377
전남,나주여자중학교,1998,나주,중,자체활용,나주 교동 118
전남,나주초이화분교장,2008,나주,초,미활용,나주 토계동 318
전남,나진초용창분교장,2021,여수,초,대부,여수 화양면 용주리 1515-17
전남,낙안금산분교장,1999,순천,초,매각,순천시 낙안면 금산리 183
전남,낙안남초등학교,1998,순천,초,매각,순천시 낙안면 이곡리 288
전남,낙안초창녕분교장,2014,순천,초,대부,순천 낙안면 창녕리 572   
