시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
세종,금남초 성덕분교,1995,,초,매각,충남 연기군 금남면 성덕리 308번지
세종,금사분교,1993,,초,매각,충남 연기군 전의면 금사리 113-1번지
세종,금석초,2003,,초,매각,충남 연기군 금남면 석교리 141번지
세종,달성초,1999,,초,매각,세종특별자치시 전의면 양곡리 321번지
세종,연동초 용호분교,1995,,초,매각,충남 연기군 동면 용호리 312-1번지
세종,연세초,2010,,초,매각,충남 연기군 남면 양화리 439-5번지
세종,연양초,2008,,초,매각,충남 연기군 남면 종촌리 131-1
세종,연흥초,1999,,초,매각,충남 연기군 동면 응암리 465-2번지
세종,영대초등학교,2003,,초,자체활용,"세종시 금남면 영대리 193-2, 4, 5"
세종,와촌초,2001,,초,매각,충남 연기군 서면 와촌리 806-2번지
세종,전동초 송덕분교,1996,,초,매각,충남 연기군 전동면 송곡리 182-2번지
세종,전동초 송성분교,1994,,초,매각,충남 연기군 전동면 송성리 345-1번지
세종,전의초 삼기분교,1994,,초,매각,충남 연기군 소정면 고등리 295-1번지
