시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
울산,(구)송정초,1999,강북,초,자체활용,북구 송정동 820
울산,검단분교,2020,강남,초,대부,울주군 웅촌면 검단리 603-3
울산,구. 범서초,2001,강남,초,매각,울주군 범서읍 천상리 115-1
울산,구. 용연초,1998,강남,초,매각,남구 용연동 424
울산,궁근정초,2016,강남,초,자체활용,울주군 상북면 궁근정리564-1
울산,길천초,2016,강남,초,자체활용,울주군 상북면 길천리 401
울산,내와분교,1999,강남,초,자체활용,울주군 두서면 내와리 972-1
울산,당월분교,1987,강남,초,매각,울주군 온산면 당월리 275
울산,대송분교,1993,강남,초,자체활용,울주군 서생면 대송리 195
울산,동해분교,1999,강북,초,자체활용,북구 당사동 465-2
울산,두남분교,1999,강남,초,자체활용,울주군 두서면 구량리 212-2
울산,두북분교,1999,강남,초,대부,울주군 두서면 활천리 329-1
울산,무룡분교,1999,강북,초,자체활용,북구 무룡동 276-1
울산,미호분교,1993,강남,초,미활용,울주군 두서면 미호리 610
울산,봉월초,2012,강남,초,대부,울주군 두동면 봉계리 1030-3
울산,삼광분교,1999,강남,초,미활용,울주군 온양읍 삼광리 657-1
울산,서사분교,1999,강남,초,자체활용,울주군 범서읍 서사리 270
울산,성혜분교,1998,강북,초,매각,북구 시례동 292-3
울산,신리분교,1993,강남,초,매각,울주군 청량면 중리 273-1
울산,신명분교,1999,강북,초,자체활용,북구 신명동 153-5
울산,온산국교,1989,강남,초,매각,울주군 온산면 대정리 113-2
울산,용암분교,1997,강남,초,매각,울주군 청량면 용암리 680-2
울산,이천분교,2013,강남,초,매각,울주군 상북면 이천리 377
울산,조일분교,1999,강남,초,매각,울주군 삼동면 보은리 620
울산,춘도국교,1990,강남,초,매각,울주군 온산면 방도리 117-1
울산,향산초,2016,강남,초,자체활용,울주군 상북면 향산리 344
울산,효문분교,2020,강남,초,자체활용,북구 효문동 767
