
행정구역(읍면동)별(1),결혼이민자 및 귀화자 등,결혼이민자,귀화자 등,자녀,기타동거인,국내출생,외국인
전국,397262,179525,217737,305246,323060,277143,45917
서울특별시,74787,31555,43232,39437,53387,43997,9390
부산광역시,14217,7295,6922,13384,14863,13719,1144
대구광역시,10770,5552,5218,10497,10650,9737,913
인천광역시,31721,13301,18420,20416,21097,17029,4068
광주광역시,7610,3708,3902,7677,7112,6386,726
대전광역시,7055,3463,3592,6890,6842,6348,494
울산광역시,6971,3353,3618,6406,5616,5023,593
세종특별자치시,1787,918,869,1767,1727,1563,164
경기도,130021,57405,72616,84654,92976,75429,17547
강원특별자치도,8784,3987,4797,8838,9281,8726,555
충청북도,12614,5793,6821,11568,11835,10445,1390
충청남도,20195,9441,10754,17839,17870,15464,2406
전라북도,12674,5856,6818,14018,12906,11787,1119
전라남도,13890,6584,7306,16674,15081,13757,1324
경상북도,16819,7877,8942,17752,16671,15162,1509
경상남도,21806,10405,11401,21918,19780,17743,2037
제주특별자치도,5541,3032,2509,5511,5366,4828,538
