region,school_name,closure_year,local_office,school_level,utilization_status,address,years_since_closure,closure_risk_index,risk_level
jeju,신도초보흥분교장,1983,해당없음,초,미활용,서귀포시 대정읍 신도리 2595-2,42,1.0,매우 높음
gyeongnam,외암초등학교별천분교장,1989,함안,초,미활용,함안군 여항면 주동리 352,36,0.921311475409836,매우 높음
gangwon,봉양초 덕산분교장,1990,정선,초,미활용,정선군 정선읍  덕우리 27 ,35,0.9081967213114753,매우 높음
gyeonggi,대동초 선감분교장,1990,안산,초,미활용,안산시 단원구 선감동 667-2,35,0.9081967213114753,매우 높음
gyeonggi,냉정초,1990,포천,초,미활용,포천시 관인면 냉정리 339,35,0.9081967213114753,매우 높음
chunbook,성암초 연곡분교장,1991,진천,초,미활용,진천군 진천읍 연곡리 191-1,34,0.8950819672131151,매우 높음
gyeongbook,부남초등학교중기분교장,1991,청송,초,미활용,청송군 청송읍 중기리 610-2,34,0.8950819672131151,매우 높음
jeonnam,초도초광도분교장,1991,여수,초,미활용,여수 삼산면 손죽리 산54,34,0.8950819672131151,매우 높음
jeonnam,다도초덕림분교장,1991,나주,초,미활용,나주 다도면 덕림리 536,34,0.8950819672131151,매우 높음
chunbook,미원중 운암분교장,1991,청주,초,미활용,청주시 상당구 미원면 운암리 593,34,0.8950819672131151,매우 높음
gyeongnam,산수초등학교,1991,거창,초,미활용,거창군 신원면 덕산리 714-1,34,0.8950819672131151,매우 높음
gyeonggi,가납초 현암분교장,1991,동두천양주,초,미활용,양주시 광적면 비암리 231-4,34,0.8950819672131151,매우 높음
jeju,추자초횡간분교장,1991,해당없음,초,미활용,제주시 추자면 대서리 산68,34,0.8950819672131151,매우 높음
jeonnam,강진서초영파분교장,1991,강진,초,미활용,강진 강진읍 영파리 565,34,0.8950819672131151,매우 높음
gangwon,여량초 자개분교장,1991,정선,초,미활용,정선군 여량면 구절리 377-1,34,0.8950819672131151,매우 높음
gyeonggi,유양초 천성분교장,1991,동두천양주,초,미활용,양주시 유양동 유양동 725,34,0.8950819672131151,매우 높음
gyeongnam,신흥초등학교,1992,하동,초,미활용,하동군 북천면 사평리 491-2,33,0.8819672131147543,매우 높음
gyeongnam,유림초등학교화남분교장,1992,함양,초,미활용,함양군 유림면 손곡리 280,33,0.8819672131147543,매우 높음
gyeongnam,양보초등학교우복분교장,1992,하동,초,미활용,하동군 양보면 우복리 367-1,33,0.8819672131147543,매우 높음
gyeongbook,용성초등학교구룡분교장,1992,경산,초,미활용,경산시 용성면 매남리 158,33,0.8819672131147543,매우 높음
gyeongnam,용현초등학교,1992,거창,초,미활용,거창군 신원면 대현리 86-1,33,0.8819672131147543,매우 높음
jeonbook,선유도초 명도분교장,1992,군산,초,미활용,군산시 옥도면 말도리 73-3,33,0.8819672131147543,매우 높음
jeonbook,선유도초 방축분교장,1992,군산,초,미활용,군산시 옥도면 말도리 125-5,33,0.8819672131147543,매우 높음
chunbook,회남초 분저분교장,1992,보은,초,미활용,보은군 회남면 분저리 71,33,0.8819672131147543,매우 높음
