region,closure_risk_index,risk_level
busan,0.339207650273224,매우 낮음
chunbook,0.5398865069356873,매우 높음
chunnam,0.4555207328833173,낮음
daegu,0.44362663098026095,매우 낮음
daejeon,0.5672131147540984,매우 높음
gangwon,0.5295422080130604,높음
gwangju,0.5154098360655738,보통
gyeongbook,0.4768899553721603,낮음
gyeonggi,0.5445310400429992,매우 높음
gyeongnam,0.5157164437979075,높음
incheon,0.5219227563212003,높음
jeju,0.6922716627634662,매우 높음
jeonbook,0.48541178766588605,보통
jeonnam,0.46877088027348307,낮음
sejong,0.45044136191677175,매우 낮음
seoul,0.3784543325526932,매우 낮음
ulsan,0.5034608378870674,보통
